2024-09-14 11:42:40.585 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:42:50.590 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:42:50.590 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:42:50.590 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:42:50.608 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:43:00.610 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:43:00.610 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:43:00.610 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:43:00.626 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:43:10.638 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:43:10.638 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:43:10.638 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:43:10.653 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:43:20.662 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:43:20.662 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:43:20.662 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:43:20.684 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:43:30.686 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:43:30.686 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:43:30.686 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:43:30.703 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:43:40.707 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:43:40.707 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-09-14 11:43:40.707 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:43:40.716 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-09-14 11:43:40.716 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:43:40.716 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:43:40.716 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:43:40.734 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:43:50.745 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:43:50.745 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:43:50.745 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:43:50.762 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:44:00.764 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:44:00.764 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:44:00.764 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:44:00.778 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:44:10.785 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:44:10.785 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:44:10.785 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:44:10.803 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:44:20.803 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:44:20.804 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:44:20.804 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:44:20.822 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:44:30.834 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:44:30.834 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:44:30.834 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:44:30.851 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:44:40.852 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:44:40.852 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-09-14 11:44:40.852 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:44:40.861 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-09-14 11:44:40.861 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:44:40.861 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:44:40.861 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:44:40.878 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:44:50.886 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:44:50.886 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:44:50.886 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:44:50.902 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:45:00.908 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:45:00.908 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:45:00.908 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:45:00.925 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:45:10.932 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:45:10.932 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:45:10.932 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:45:10.948 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:45:20.963 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:45:20.963 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:45:20.963 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:45:20.980 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:45:30.984 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:45:30.984 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:45:30.984 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:45:31.001 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:45:41.007 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:45:41.007 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-09-14 11:45:41.007 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:45:41.015 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-09-14 11:45:41.015 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:45:41.015 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:45:41.015 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:45:41.034 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:45:51.037 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:45:51.037 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:45:51.037 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:45:51.053 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:46:01.065 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:46:01.065 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:46:01.065 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:46:01.093 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:46:11.099 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:46:11.099 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:46:11.099 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:46:11.116 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:46:21.124 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:46:21.124 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:46:21.124 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:46:21.140 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:46:31.150 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:46:31.151 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:46:31.151 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:46:31.167 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
